127.0.0.1 - - [28/Feb/2023:14:46:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Feb/2023:14:46:01 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [28/Feb/2023:14:46:01 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [28/Feb/2023:14:47:50 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [28/Feb/2023:14:47:50 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:14:47:50 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [28/Feb/2023:14:47:52 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [28/Feb/2023:14:49:08 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [28/Feb/2023:14:49:32 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [28/Feb/2023:14:51:11 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:05:41 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:17:26 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:17:35 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:17:39 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:17:42 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:18:07 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:18:07 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5745
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:18:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:19:12 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:19:12 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5745
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:19:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:30:15 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:30:15 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5745
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:30:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:38:20 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:38:20 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5745
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:38:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:53:50 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:53:50 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5745
0:0:0:0:0:0:0:1 - - [28/Feb/2023:15:53:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
