127.0.0.1 - - [22/Mar/2023:12:19:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Mar/2023:12:19:02 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [22/Mar/2023:12:19:02 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [22/Mar/2023:12:21:06 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:12:38:16 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:12:53:42 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:01:24 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:01:25 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:01:28 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:01:29 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:24:51 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:25:12 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:25:12 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:25:24 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:25:33 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:27:11 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:27:20 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:31:43 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:31:46 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:32:34 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:33:41 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:33:42 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:33:43 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:33:43 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:33:43 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:33:45 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:33:49 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:33:49 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:33:49 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:42:40 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:42:40 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:43:27 +0530] "GET /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 12200
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:43:38 +0530] "GET /ORS_Project4/ctl/StudentCtl?id=2 HTTP/1.1" 200 7101
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:43:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:44:43 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13298
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:44:44 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:44:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:45:02 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13298
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:46:14 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:47:24 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:47:24 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:47:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:48:57 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:49:04 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:49:11 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2949
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:49:22 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:49:36 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:50:01 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:51:36 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [22/Mar/2023:13:51:44 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2966
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:05:37 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:05:49 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2983
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:05:52 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:05:52 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:05:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:05:57 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5848
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:05:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:08:51 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5867
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:08:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:12:16 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:12:16 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:12:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:12:27 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:12:27 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:12:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:13:11 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:14:49 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:15:02 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:15:02 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:15:02 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:15:08 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:15:08 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:15:08 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:15:14 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:15:14 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:15:14 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:15:57 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:27:34 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [22/Mar/2023:14:28:10 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2926
