127.0.0.1 - - [19/Apr/2023:15:19:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:20:00 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:20:00 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:20:01 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:20:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:20:03 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:20:06 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:25:43 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:26:01 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:30:44 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:30:46 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:30:49 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:30:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:31:42 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 500 1180
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:31:48 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:31:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:32:51 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 500 1180
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:32:55 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:32:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:33:28 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5823
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:33:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:34:33 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:34:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:37:48 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5823
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:37:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:05:27 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5823
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:05:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:05:28 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:05:28 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:05:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:05:33 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:07:20 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:15:49 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:21:38 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:21:38 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:21:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Apr/2023:18:18:25 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [19/Apr/2023:18:22:36 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:18:22:36 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [19/Apr/2023:18:22:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
