127.0.0.1 - - [17/May/2023:11:32:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/May/2023:11:32:03 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [17/May/2023:11:32:03 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/May/2023:11:32:05 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [17/May/2023:11:32:06 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [17/May/2023:11:33:26 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:11:33:26 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [17/May/2023:11:33:34 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [17/May/2023:11:33:34 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/May/2023:11:33:55 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10362
0:0:0:0:0:0:0:1 - - [17/May/2023:11:33:55 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:11:33:55 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2023:11:42:17 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7049
0:0:0:0:0:0:0:1 - - [17/May/2023:11:43:19 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10362
0:0:0:0:0:0:0:1 - - [17/May/2023:12:00:25 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10362
0:0:0:0:0:0:0:1 - - [17/May/2023:12:00:27 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10362
0:0:0:0:0:0:0:1 - - [17/May/2023:12:04:27 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10297
0:0:0:0:0:0:0:1 - - [17/May/2023:12:10:39 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 8457
0:0:0:0:0:0:0:1 - - [17/May/2023:12:10:52 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10362
0:0:0:0:0:0:0:1 - - [17/May/2023:12:11:02 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:12:11:02 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [17/May/2023:12:11:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/May/2023:12:11:10 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10362
0:0:0:0:0:0:0:1 - - [17/May/2023:12:42:29 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [17/May/2023:15:36:12 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [17/May/2023:15:36:43 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:15:36:43 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [17/May/2023:15:36:45 +0530] "GET /ORS_Project4/ctl/TimeTableCtl HTTP/1.1" 200 7813
0:0:0:0:0:0:0:1 - - [17/May/2023:15:36:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/May/2023:15:36:47 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10362
0:0:0:0:0:0:0:1 - - [17/May/2023:15:37:03 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7049
0:0:0:0:0:0:0:1 - - [17/May/2023:15:47:19 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10362
0:0:0:0:0:0:0:1 - - [17/May/2023:15:47:28 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10297
