127.0.0.1 - - [25/Jun/2023:22:32:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:32:03 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:32:03 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:32:03 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:36:18 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:36:18 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:36:52 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:38:00 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:38:46 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:39:12 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:39:14 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:39:19 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:39:39 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:39:41 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:39:41 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:39:42 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:39:42 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:39:42 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:39:44 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:39:45 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:39:47 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:39:48 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:39:50 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:39:53 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:40:13 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:40:15 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:40:15 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:40:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:41:26 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5783
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:41:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:41:52 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:42:25 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:42:25 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:43:24 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:51:39 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:53:55 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:54:20 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:22:55:05 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:03:52 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:04:18 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:04:18 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2174
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:06:57 +0530] "GET /ORS_Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:07:04 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 4975
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:07:04 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:07:11 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:07:17 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:09:51 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:09:54 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:09:54 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:09:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:10:37 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:10:47 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:10:57 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:11:22 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:11:22 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:11:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:13:15 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:13:20 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:13:20 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:13:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:14:05 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:14:05 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [25/Jun/2023:23:14:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
