127.0.0.1 - - [04/Jul/2023:13:22:33 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:22:35 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:22:35 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:22:36 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:22:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:22:38 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:25:20 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:25:22 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:25:24 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:25:25 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:25:41 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:26:00 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:27:59 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:27:59 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5624
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:27:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:38:56 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:41:11 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:41:11 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:42:09 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9178
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:44:54 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 7527
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:44:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Jul/2023:14:45:40 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9178
0:0:0:0:0:0:0:1 - - [04/Jul/2023:15:16:22 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 500 1153
0:0:0:0:0:0:0:1 - - [04/Jul/2023:15:16:25 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 500 1153
0:0:0:0:0:0:0:1 - - [04/Jul/2023:15:16:31 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 500 1153
0:0:0:0:0:0:0:1 - - [04/Jul/2023:15:17:16 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 500 1153
0:0:0:0:0:0:0:1 - - [04/Jul/2023:15:17:21 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 500 1153
0:0:0:0:0:0:0:1 - - [04/Jul/2023:15:17:26 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 500 1153
0:0:0:0:0:0:0:1 - - [04/Jul/2023:15:17:29 +0530] "GET /ORS_Project4/ctl/UserCtl?id=3 HTTP/1.1" 200 3009
0:0:0:0:0:0:0:1 - - [04/Jul/2023:15:17:32 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [04/Jul/2023:18:10:22 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [04/Jul/2023:18:12:59 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:18:12:59 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [04/Jul/2023:18:31:01 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9178
0:0:0:0:0:0:0:1 - - [04/Jul/2023:18:31:03 +0530] "GET /ORS_Project4/ctl/UserCtl?id=5 HTTP/1.1" 200 7530
0:0:0:0:0:0:0:1 - - [04/Jul/2023:18:31:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Jul/2023:18:47:38 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 7915
0:0:0:0:0:0:0:1 - - [04/Jul/2023:18:47:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
